id;aktion;stufe;fach;bereich;typ;kategorie;grund;ersatz
PX-R-029;gelöscht;Themenpaket R-A;1;Arbeitsrecht;mc;Dublette;"Dublette zu R-AR-017 (wichtiger Grund nach § 626 BGB); Erklärung zudem ungenau (Verschulden nicht zwingend) – nach der Variationsregel erneut geprüft: dieselbe Aufgabe (gleicher Wissenspunkt, gleiche Frageweise)";R-AR-017
PX-R-035;gelöscht;Themenpaket R-A;1;Arbeitsrecht;mc;Dublette;Dublette zu R-AR-020 (Klagefrist drei Wochen) – nach der Variationsregel erneut geprüft: dieselbe Aufgabe (gleicher Wissenspunkt, gleiche Frageweise);R-AR-020
PX-R-055;gelöscht;Themenpaket R-A;1;Arbeitsrecht;mc;Dublette;Dublette zu R-AR-016 (Zwei-Wochen-Frist § 626 Abs. 2 BGB) – nach der Variationsregel erneut geprüft: dieselbe Aufgabe (gleicher Wissenspunkt, gleiche Frageweise);R-AR-016
PX-R-058;gelöscht;Querschnitt;1;Arbeitsrecht;mc;Dublette;"Verdachtsfall PX-R-058 ↔ R-BR-030: Dublette (MC „Was bedeutet die tarifliche Friedenspflicht?“ zweimal, gleiche richtige Antwort); R-BR-030 hat die lehrreicheren Distraktoren (relative/absolute Friedenspflicht, Nachwirkung); Erklärungsinhalte übernommen";R-BR-030
PX-R-073;gelöscht;Themenpaket R-A;1;Arbeitsrecht;mc;Dublette;Dublette zu PX-R-048 (Formfreiheit des Arbeitsvertrags) – nach der Variationsregel erneut geprüft: dieselbe Aufgabe (gleicher Wissenspunkt, gleiche Frageweise);PX-R-048
PX-R-074;gelöscht;Themenpaket R-A;1;Arbeitsrecht;mc;Dublette;fachlich überholt (Monatsfrist des NachwG gilt seit 2022 nur noch für einen Teil der Angaben) und Dublette zu R-AR-069/R-AR-120;R-AR-120
PX-R-085;gelöscht;Themenpaket R-A;1;Arbeitsrecht;mc;Dublette;Dublette zu R-AR-014 (Höchstdauer der Probezeit) – nach der Variationsregel erneut geprüft: dieselbe Aufgabe (gleicher Wissenspunkt, gleiche Frageweise);R-AR-014
PX-R-097;gelöscht;Themenpaket R-A;1;Arbeitsrecht;mc;Dublette;Dublette zu R-AR-019 (Wartezeit des KSchG) – nach der Variationsregel erneut geprüft: dieselbe Aufgabe (gleicher Wissenspunkt, gleiche Frageweise);R-AR-019
PX-R-099;gelöscht;Themenpaket R-A;1;Arbeitsrecht;mc;Dublette;Dublette zu R-AR-001 (Rangfolge der Rechtsquellen) – nach der Variationsregel erneut geprüft: dieselbe Aufgabe (gleicher Wissenspunkt, gleiche Frageweise);R-AR-001
PX-R-103;gelöscht;Themenpaket R-A;1;Arbeitsrecht;mc;Dublette;Dublette zu R-AR-019 (Anwendbarkeit des KSchG) – nach der Variationsregel erneut geprüft: dieselbe Aufgabe (gleicher Wissenspunkt, gleiche Frageweise);R-AR-019
